"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Operational","ECR error","Gate length (ns)"
"10","274.46659154059114","227.46760490988007","4.831522227070975","-0.3097434424405673","0.0140380859375","0.01318359375","0.01708984375","1300","0.0001468364001901598","60","0","0.0001468364001901598","0.0001468364001901598","Yes","9:0.005803116286955262;11:0.012227978733660633","9:660;11:660"
"11","47.34046569406231","67.33787603201664","4.972409459786967","-0.307214316560019","0.059814453125","0.025390625","0.0849609375","1300","0.0005558905773302953","60","0","0.0005558905773302953","0.0005558905773302953","Yes","12:0.010508471196053304","12:660"
"12","296.6006251062978","125.60054697904089","4.936369914668121","-0.3079608272575031","0.012451171875","0.0146484375","0.013671875","1300","0.0001620550123184011","60","0","0.0001620550123184011","0.0001620550123184011","Yes","17:0.005711847886821497","17:660"
"13","259.3148274836208","80.2059335540573","5.005797576823698","-0.3067650398842775","0.0167236328125","0.01123046875","0.01416015625","1300","0.00017710524640181786","60","0","0.00017710524640181786","0.00017710524640181786","Yes","12:0.0051348251698588865","12:660"
"14","238.15784361166425","97.14494398255303","4.903339848818894","-0.308419961199297","0.04052734375","0.01904296875","0.06396484375","1300","0.0002293429097934557","60","0","0.0002293429097934557","0.0002293429097934557","Yes","0:0.006297272392857739;18:0.004274889430510048","0:660;18:660"
"15","262.6346224991815","38.1625230993272","4.9478432674965696","-0.308052427832017","0.026611328125","0.02490234375","0.0302734375","1300","0.0006397361581170976","60","0","0.0006397361581170976","0.0006397361581170976","Yes","22:0.007854878331941123","22:660"
"16","303.2839548177794","18.62759991489954","4.960340585840138","-0.3076594514774509","0.0220947265625","0.02490234375","0.0166015625","1300","0.00023851063017657842","60","0","0.00023851063017657842","0.00023851063017657842","Yes","8:0.009500749403563241;26:0.004652940762527896","8:660;26:660"
"17","170.04714462596016","152.5082079807634","4.820817073763995","-0.30970435909943395","0.0250244140625","0.01953125","0.0126953125","1300","0.0001938027755980025","60","0","0.0001938027755980025","0.0001938027755980025","Yes","30:0.006069178464630731","30:660"
"18","293.30643717032433","123.07916175797136","4.7881347661535845","-0.31063598977187784","0.01123046875","0.01220703125","0.0234375","1300","0.0001599938413905195","60","0","0.0001599938413905195","0.0001599938413905195","Yes","19:0.0031116408092800862","19:660"
"19","373.3171586863331","284.42276774172933","4.747079465239823","-0.31072395279331844","0.0308837890625","0.03955078125","0.02685546875","1300","0.00020386725046301742","60","0","0.00020386725046301742","0.00020386725046301742","Yes","",""
