"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"10","203.03935280877974","172.3823552628021","4.804388478637297","-0.31122742580861","0.006900000000000017","0.006","0.007800000000000029","1216","0.00018157209376502676","0","0.00018157209376502676","0.00018157209376502676","10_11:0.004769084898521486;10_9:0.01077714884821257","10_11:533.3333333333333;10_9:533.3333333333333","true"
"11","220.56675311321604","81.37118318946412","4.743312140873306","-0.31179417408967897","0.006199999999999983","0.0064","0.006000000000000005","1216","0.00021606676737039355","0","0.00021606676737039355","0.00021606676737039355","11_12:0.005381687295412052","11_12:533.3333333333333","true"
"12","429.3085743340598","404.26445244263437","4.6259367630497845","-0.31372359565205904","0.020399999999999974","0.020000000000000018","0.0208","1216","0.0001759805795864079","0","0.0001759805795864079","0.0001759805795864079","12_13:0.009491068398544272","12_13:533.3333333333333","true"
"13","419.26583245681235","271.8899134245488","4.556976802504636","-0.31377871528415735","0.038899999999999935","0.044399999999999995","0.0334","1216","0.00012520647192868078","0","0.00012520647192868078","0.00012520647192868078","","","true"
"14","235.33347533711745","62.7704314071983","4.510048501832088","-0.3157712274724498","0.030000000000000027","0.0462","0.013800000000000034","1216","0.0007810042728962706","0","0.0007810042728962706","0.0007810042728962706","14_0:0.044987900285986454;14_18:0.02959837380443653","14_0:533.3333333333333;14_18:533.3333333333333","true"
"15","479.29264838457846","283.73574119143467","4.599052211585765","-0.32044986829453664","0.07750000000000001","0.062000000000000055","0.093","1216","0.00021034043740101582","0","0.00021034043740101582","0.00021034043740101582","","","true"
"16","217.46593537912577","19.201433045569125","4.937433915435484","-0.3088315131283205","0.07479999999999998","0.072","0.0776","1216","0.001045553787389839","0","0.001045553787389839","0.001045553787389839","16_8:0.022937555789668024","16_8:533.3333333333333","true"
"17","401.5082427924515","70.64715171483454","4.752796046027558","-0.31153154230934604","0.013000000000000012","0.017199999999999993","0.0088","1216","0.0004920828624074465","0","0.0004920828624074465","0.0004920828624074465","17_12:0.005937762075099912;17_30:0.007265104068417322","17_12:590.2222222222222;17_30:590.2222222222222","true"
"18","360.1916975731063","18.16962565210504","4.659441383854667","-0.2892599847835004","0.05559999999999998","0.0444","0.06679999999999997","1216","0.00027411472818993386","0","0.00027411472818993386","0.00027411472818993386","18_19:0.011252753138629806","18_19:533.3333333333333","true"
"19","568.6140299648307","78.1465543796033","4.820724754835776","-0.31198328628677313","0.032299999999999995","0.034599999999999964","0.03","1216","0.0002375927326118284","0","0.0002375927326118284","0.0002375927326118284","19_20:0.004540109920093738","19_20:533.3333333333333","true"
"20","313.01301683281764","70.22043480790661","4.738281537383697","-0.3119696404967832","0.045599999999999974","0.04159999999999997","0.0496","1216","0.00017306249046437523","0","0.00017306249046437523","0.00017306249046437523","20_33:0.008010874868637025","20_33:533.3333333333333","true"
"21","401.5236087650924","25.41413893251662","4.773884418536997","-0.3114254225761893","0.10660000000000003","0.0958","0.1174","1216","0.00018389591918212486","0","0.00018389591918212486","0.00018389591918212486","21_22:0.010857595569297496;21_20:0.008956110212128499","21_22:803.5555555555555;21_20:533.3333333333333","true"
"22","359.36626773985256","301.0355918230462","4.668485116083367","-0.31331663183442576","0.025800000000000045","0.030200000000000005","0.0214","1216","0.0002860154535162439","0","0.0002860154535162439","0.0002860154535162439","22_15:0.06526252668302371","22_15:590.2222222222222","true"
"23","74.92506242573684","19.233149403497674","4.75809372458223","-0.31173856129806604","0.010499999999999954","0.014599999999999946","0.0064","1216","0.0005389100294417151","0","0.0005389100294417151","0.0005389100294417151","23_24:0.02147339719893565;23_22:0.010799274509438017","23_24:533.3333333333333;23_22:533.3333333333333","true"
