"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"35","284.41190032446843","126.20559262127769","4.721858979193564","-0.30795810239191124","0.011200000000000099","0.017800000000000038","0.0046","1244.4444444444443","0.00313827850524438","0","0.00313827850524438","0.00313827850524438","35_47:0.0139261405104818;35_28:0.023945948214952495","35_47:561.7777777777777;35_28:561.7777777777777","true"
"36","336.0047817124725","192.2638526129228","4.608020236678389","-0.31164624269239977","0.005800000000000027","0.009199999999999986","0.0024","1244.4444444444443","0.00019066357288223992","0","0.00019066357288223992","0.00019066357288223992","36_32:0.0068857023379867155;36_51:0.01031574465022761","36_32:561.7777777777777;36_51:561.7777777777777","true"
"37","263.4126958780779","193.91800853912324","4.497770903482625","0","0.018199999999999994","0.0226","0.013800000000000034","1244.4444444444443","0.0030831767318896747","0","0.0030831767318896747","0.0030831767318896747","37_38:0.018010611543796573;37_52:0.018594264950024947","37_38:561.7777777777777;37_52:561.7777777777777","true"
"38","259.3539919796235","285.9706927818476","4.475500784405248","-0.33539586706236296","0.023399999999999976","0.03839999999999999","0.0084","1244.4444444444443","0.0021277321437278693","0","0.0021277321437278693","0.0021277321437278693","","","true"
"39","380.289086789779","72.36082632003489","4.504428554135531","-0.31295465019890567","0.011900000000000022","0.009199999999999986","0.0146","1244.4444444444443","0.0017187396806912817","0","0.0017187396806912817","0.0017187396806912817","39_38:0.02598768080683414","39_38:561.7777777777777","true"
"40","431.4341657767405","31.05275903144291","4.464342008666932","-0.33809284738007156","0.007600000000000051","0.009399999999999964","0.0058","1244.4444444444443","0.0001988161814930275","0","0.0001988161814930275","0.0001988161814930275","40_39:0.013880075684384763;40_41:0.013337516829863116","40_39:561.7777777777777;40_41:561.7777777777777","true"
"41","229.25254059340082","368.0119078686924","4.575899474126647","-0.3452224783858925","0.0024999999999999467","0.0041999999999999815","0.0008","1244.4444444444443","0.00017349680883270812","0","0.00017349680883270812","0.00017349680883270812","","","true"
"42","219.91205060406463","76.15828331858827","4.641375095227416","-0.33193206992602775","0.00770000000000004","0.013599999999999945","0.0018","1244.4444444444443","0.00034491126766498815","0","0.00034491126766498815","0.00034491126766498815","42_41:0.00914539623330618;42_43:0.00803740082405785","42_41:561.7777777777777;42_43:561.7777777777777","true"
"43","261.26020301062596","177.48728308931587","4.523122044366313","-0.3218076034687584","0.0033000000000000806","0.005800000000000027","0.0008","1244.4444444444443","0.00017629430498090955","0","0.00017629430498090955","0.00017629430498090955","43_34:0.009426415275151756","43_34:561.7777777777777","true"
"44","392.7853320429743","196.01781810257654","4.594568192010481","-0.2725547830259511","0.04719999999999991","0.04059999999999997","0.0538","1244.4444444444443","0.00029119102576399944","0","0.00029119102576399944","0.00029119102576399944","44_43:0.015118438563076264","44_43:561.7777777777777","true"
"45","243.4368455976723","93.66325036726765","4.630451293371155","-0.31121477664524183","0.0028000000000000247","0.0046000000000000485","0.001","1244.4444444444443","0.0003114190990428764","0","0.0003114190990428764","0.0003114190990428764","45_44:0.009300959126842201;45_46:0.017889315503000602","45_44:561.7777777777777;45_46:561.7777777777777","true"
"46","100.30437242430799","44.7040994124754","4.710116943958001","-0.31051099269051724","0.006799999999999917","0.012199999999999989","0.0014","1244.4444444444443","0.0008680173378485672","0","0.0008680173378485672","0.0008680173378485672","46_47:0.019237081267308775","46_47:561.7777777777777","true"
"47","320.98370953801003","102.22299574604108","4.680653717577465","-0.2791698234955903","0.04359999999999997","0.030399999999999983","0.0568","1244.4444444444443","0.0014704923538093977","0","0.0014704923538093977","0.0014704923538093977","","","true"
"48","282.1668625209876","74.95915620561448","4.625119799675318","-0.31121814662509445","0.0024999999999999467","0.0046000000000000485","0.0004","1244.4444444444443","0.0001751218422628607","0","0.0001751218422628607","0.0001751218422628607","48_49:0.00582817139965347;48_47:0.016842079449637504","48_49:561.7777777777777;48_47:561.7777777777777","true"
"49","178.20278333578497","72.03513607293435","4.58194914365941","-0.35202725215057706","0.010599999999999943","0.011199999999999988","0.01","1244.4444444444443","0.0002187928660732875","0","0.0002187928660732875","0.0002187928660732875","","","true"
"50","365.556140530252","122.55662099467041","4.457760132005553","-0.3137510834931671","0.007400000000000073","0.0096","0.005199999999999982","1244.4444444444443","0.0001619868147683855","0","0.0001619868147683855","0.0001619868147683855","50_51:0.00918228498531476;50_49:0.010398879797130722","50_51:561.7777777777777;50_49:561.7777777777777","true"
"51","225.95935020837388","73.34966454030022","4.565365630247917","-0.2968087163341602","0.06269999999999998","0.06799999999999995","0.0574","1244.4444444444443","0.0005190000296620224","0","0.0005190000296620224","0.0005190000296620224","","","true"
"52","252.7461045686506","29.635796396680316","4.444468554122463","-0.2854962354743173","0.12660000000000005","0.11719999999999997","0.136","1244.4444444444443","0.0004543763259984312","0","0.0004543763259984312","0.0004543763259984312","","","true"
"53","268.58207647157434","386.1443318747083","4.621995105238858","-0.3089157779566661","0.0040999999999999925","0.005800000000000027","0.0024","1244.4444444444443","0.00012002911671994217","0","0.00012002911671994217","0.00012002911671994217","53_60:0.004437032958695769;53_41:0.005935753574259822","53_60:561.7777777777777;53_41:561.7777777777777","true"
"54","365.4400525209781","19.22437108431896","4.5013217601854665","-0.31299719319013514","0.005199999999999982","0.006","0.0043999999999999595","1244.4444444444443","0.00028946298823571666","0","0.00028946298823571666","0.00028946298823571666","54_45:0.012775958523036923;54_64:0.011835936778129635","54_45:561.7777777777777;54_64:561.7777777777777","true"
"55","287.7121549634028","38.03046206676251","4.686313045487907","-0.3100668699291798","0.0047999999999999154","0.006399999999999961","0.0032","1244.4444444444443","0.0002559307445960055","0","0.0002559307445960055","0.0002559307445960055","55_49:0.010000792284756033","55_49:561.7777777777777","true"
"56","312.37829172803185","311.7740560279773","4.553714620588917","0","0.004899999999999904","0.0074","0.0023999999999999577","1244.4444444444443","0.00036411742975907746","0","0.00036411742975907746","0.00036411742975907746","56_52:0.014847694128833189","56_52:561.7777777777777","true"
